,id,content,metrics,sentiment
0,1605606763423621120,"RT @mo9ala7: 🤐 Western Hypocrisy! 
#FIFAWorldCup #Qatar2022 #Argentina #Messi𓃵 #Bisht #Hypocrites @freemonotheist @GaryLineker @5Pillarsuk…","{'author_id': 1192903123741880321, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 57, tzinfo=datetime.timezone.utc), 'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
1,1605606761985200130,"RT @alimo_philip: 🐐 LIONEL MESSI

🌕 8th Ballon d'Or loading…………

#FIFAWorldCup|#Messi𓃵|#GOAT𓃵 https://t.co/MUTormhsyS","{'author_id': 1389558237708656644, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 57, tzinfo=datetime.timezone.utc), 'retweet_count': 1211, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
2,1605606759476776960,"RT @FIFAWorldCup: In Argentina, the celebrations have not stopped 🇦🇷🏆 

#FIFAWorldCup https://t.co/26nzHvqVGW","{'author_id': 1520786342615023616, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 56, tzinfo=datetime.timezone.utc), 'retweet_count': 957, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
3,1605606743240839168,"RT @FIFAWorldCup: In Argentina, the celebrations have not stopped 🇦🇷🏆 

#FIFAWorldCup https://t.co/26nzHvqVGW","{'author_id': 803609626012884992, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 52, tzinfo=datetime.timezone.utc), 'retweet_count': 957, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
4,1605606729005158400,"RT @imarafathossain: This is a Bangladeshi tribute to dear Argentina. 🇦🇷🇧🇩
Magic! Messi! Madness! 🔥

VAMOS ARGENTINA, WE LOVE YOU...
#Messi…","{'author_id': 52714166, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 49, tzinfo=datetime.timezone.utc), 'retweet_count': 15, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.73828125, 'sentiment_rating_value': 2}"
5,1605606723003113478,"RT @TheMessiNFT: World Cup triumph means Messi is now the greatest 🏆

Free Mint coming soon 🔜 
1111 Supply 📦 

Like + RT to be considered 📜…","{'author_id': 1970590735, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 48, tzinfo=datetime.timezone.utc), 'retweet_count': 1202, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.7, 'sentiment_rating_value': 2}"
6,1605606721954537473,"RT @gipos_: Latest news from the GiPOS news media. Take a listen. 

#Nigeria/ #FIFAWorldCup / #Messi𓃵 / #Mbappe / efcc / Asia

@TrafficChie…","{'author_id': 1279321928650706945, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 47, tzinfo=datetime.timezone.utc), 'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.5, 'sentiment_rating_value': 1}"
7,1605606717185613835,"RT @_snuppy08: 🔥CRYPTO ARBITRAGE METHOD 📲💲                                                                            

Just Check CoW toke…","{'author_id': 725676294, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 46, tzinfo=datetime.timezone.utc), 'retweet_count': 126, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': -0.13333333333333333, 'sentiment_rating_value': -2}"
8,1605606711334559746,"RT @BudweiserSA: Raise a Bud to greatness. Lionel Messi now has the most #FIFAWorldCup appearances for Argentina.

👕 22 appearances 
🇦🇷 Leg…","{'author_id': 1236001532623101956, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 45, tzinfo=datetime.timezone.utc), 'retweet_count': 457, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.5, 'sentiment_rating_value': 1}"
9,1605606705873575941,"RT @SundayMailZim: Argentina's Victory Parade 
#FIFAWorldCup 

📸 Credit: FIFA https://t.co/c1haOLXiRg","{'author_id': 1432383553, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 44, tzinfo=datetime.timezone.utc), 'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': -0.25, 'sentiment_rating_value': -2}"
10,1605606703113830401,"RT @TheMessiNFT: The Messi NFT ⚽️ 

🎁 5✘ WL SPOTS GIVEAWAY

To enter:
1️⃣ Follow @TheMessiNFT
2️⃣ Like &amp; RT &amp; Tag 3 Friends 
3️⃣ Turn ON 🔔…","{'author_id': 1970590735, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 43, tzinfo=datetime.timezone.utc), 'retweet_count': 182, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
